 TIME                                    HW_Temp                                  HW_Flow                                  PVPower                                  PV4HW                                    HeaterHeat                               HeaterPower                              HeaterPerf                               Tank_FlowRate                            Tank_TempOut                             T_mains                                  T_amb                                    GHI                                     
  +0.0000000000000000E+00   +2.0000000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.5000000000000000E+01   +1.8071690071155945E+01   +2.0200000000000003E+01   +0.0000000000000000E+00
  +5.0000000000000003E-02   +4.7092115678324234E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1356079108489568E+04   +3.7162940437772286E+03   +3.0557535553128310E+00   +0.0000000000000000E+00   +4.7092115678324234E+01   +1.8071619272658744E+01   +2.0402500000000003E+01   +0.0000000000000000E+00
  +1.0000000000000001E-01   +5.0634407574807184E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1417508104000432E+04   +3.7000307864384640E+03   +3.0857872252969809E+00   +0.0000000000000000E+00   +5.0641430852214896E+01   +1.8071548478126093E+01   +2.0807500000000001E+01   +0.0000000000000000E+00
  +1.4999999999999999E-01   +5.3396283123697536E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1478693625833839E+04   +3.6841138575760456E+03   +3.1157270652256210E+00   +0.0000000000000000E+00   +5.3401803704765889E+01   +1.8071477687558090E+01   +2.1212500000000002E+01   +0.0000000000000000E+00
  +2.0000000000000001E-01   +5.5542676477246175E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1539661406132958E+04   +3.6685277149519075E+03   +3.1455837153002038E+00   +0.0000000000000000E+00   +5.5547001805518974E+01   +1.8071406900954813E+01   +2.1617500000000003E+01   +0.0000000000000000E+00
  +2.5000000000000000E-01   +5.7209484832544987E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1600454759293414E+04   +3.6532571036468826E+03   +3.1753731163315857E+00   +0.0000000000000000E+00   +5.7212867604945657E+01   +1.8071336118316356E+01   +2.2022500000000001E+01   +0.0000000000000000E+00
  +2.9999999999999999E-01   +5.8502884047885289E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1661097530061239E+04   +3.6382892291609292E+03   +3.2051044960275537E+00   +0.0000000000000000E+00   +5.8505527212153012E+01   +1.8071265339642824E+01   +2.2427500000000002E+01   +0.0000000000000000E+00
  +3.4999999999999998E-01   +5.9505771557909888E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1721584302155547E+04   +3.6236136806276077E+03   +3.2347774826161952E+00   +0.0000000000000000E+00   +5.9507837168459950E+01   +1.8071194564934292E+01   +2.2832500000000000E+01   +0.0000000000000000E+00
  +4.0000000000000002E-01   +6.0282824623291539E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1781862322210338E+04   +3.6092225512190662E+03   +3.2643766889100791E+00   +0.0000000000000000E+00   +6.0284441594073002E+01   +1.8071123794190850E+01   +2.3237500000000001E+01   +0.0000000000000000E+00
  +4.5000000000000001E-01   +6.0884467848699700E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1841804255467312E+04   +3.5951106001209250E+03   +3.2938635867163426E+00   +0.0000000000000000E+00   +6.0885738421427796E+01   +1.8071053027412606E+01   +2.3642499999999998E+01   +0.0000000000000000E+00
  +5.0000000000000000E-01   +6.1349983820883438E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1901172766642181E+04   +3.5812752430405803E+03   +3.3231660793573363E+00   +0.0000000000000000E+00   +6.1350988791915512E+01   +1.8070982264599635E+01   +2.4047499999999999E+01   +0.0000000000000000E+00
  +5.5000000000000004E-01   +6.1709950564561133E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1959580007604671E+04   +3.5677161519941810E+03   +3.3521668040065991E+00   +0.0000000000000000E+00   +6.1710753445582839E+01   +1.8070911505752029E+01   +2.4452500000000001E+01   +0.0000000000000000E+00
  +5.9999999999999998E-01   +6.1988150351794076E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2016446782463154E+04   +3.5544343018623176E+03   +3.3806916675105803E+00   +0.0000000000000000E+00   +6.1988800691516467E+01   +1.8070840750869888E+01   +2.4857500000000002E+01   +0.0000000000000000E+00
  +6.5000000000000002E-01   +6.2203063667796194E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2068631447465954E+04   +3.5397024503501175E+03   +3.4095044040501152E+00   +0.0000000000000000E+00   +6.2203580049804053E+01   +1.8070769999953296E+01   +2.5262500000000003E+01   +0.0000000000000000E+00
  +6.9999999999999996E-01   +6.2368990556640881E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2116113471980931E+04   +3.5243444878953951E+03   +3.4378345139529096E+00   +0.0000000000000000E+00   +6.2369417352124870E+01   +1.8070699253002346E+01   +2.5667499999999997E+01   +0.0000000000000000E+00
  +7.5000000000000000E-01   +6.2497080740744693E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2158805914931801E+04   +3.5092858247669783E+03   +3.4647521379397994E+00   +0.0000000000000000E+00   +6.2497449188231023E+01   +1.8070628510017134E+01   +2.6072500000000005E+01   +0.0000000000000000E+00
  +8.0000000000000004E-01   +6.2595984037539175E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2195089364165680E+04   +3.4944923402569389E+03   +3.4898027602543782E+00   +0.0000000000000000E+00   +6.2596309555746849E+01   +1.8070557770997734E+01   +2.6477499999999999E+01   +0.0000000000000000E+00
  +8.4999999999999998E-01   +6.2672383843653130E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2223100572727886E+04   +3.4799143032185389E+03   +3.5124716184623943E+00   +0.0000000000000000E+00   +6.2672677975608423E+01   +1.8070487035944261E+01   +2.6882500000000007E+01   +0.0000000000000000E+00
  +9.0000000000000002E-01   +6.2731446751167141E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2240771046505140E+04   +3.4654838267632749E+03   +3.5321967470814912E+00   +0.0000000000000000E+00   +6.2731718212526111E+01   +1.8070416304856785E+01   +2.7287500000000001E+01   +0.0000000000000000E+00
  +9.4999999999999996E-01   +6.2777164321051139E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2245879795924729E+04   +3.4511129918588613E+03   +3.5483855439393985E+00   +0.0000000000000000E+00   +6.2777419833291297E+01   +1.8070345577735416E+01   +2.7692499999999995E+01   +0.0000000000000000E+00
  +1.0000000000000000E+00   +6.2812618875481583E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2236115973282051E+04   +3.4366926657445028E+03   +3.5604334805894062E+00   +0.0000000000000000E+00   +6.2812863801928415E+01   +1.8070274854580227E+01   +2.8097500000000004E+01   +0.0000000000000000E+00
  +1.0500000000000000E+00   +6.2840133115634480E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2183365232168780E+04   +3.4295604546219943E+03   +3.5524566633001911E+00   +0.0000000000000000E+00   +6.2840326897553481E+01   +1.8070204135391318E+01   +2.8295000000000002E+01   +0.0000000000000000E+00
  +1.1000000000000001E+00   +6.2861337471482663E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.2087948168639798E+04   +3.4298301232782114E+03   +3.5243575894957724E+00   +0.0000000000000000E+00   +6.2861497847861123E+01   +1.8070133420168776E+01   +2.8285000000000004E+01   +0.0000000000000000E+00
  +1.1499999999999999E+00   +6.2877628749517129E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1975367728333918E+04   +3.4300972339583113E+03   +3.4912617831258079E+00   +0.0000000000000000E+00   +6.2877802311825533E+01   +1.8070062708912690E+01   +2.8275000000000002E+01   +0.0000000000000000E+00
  +1.2000000000000000E+00   +6.2890239097769324E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1844626570047576E+04   +3.4303644948588717E+03   +3.4528768720533374E+00   +0.0000000000000000E+00   +6.2890427704332417E+01   +1.8069992001623163E+01   +2.8265000000000001E+01   +0.0000000000000000E+00
  +1.2500000000000000E+00   +6.2900076935908245E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1695110522489942E+04   +3.4306353265556900E+03   +3.4090216727197693E+00   +0.0000000000000000E+00   +6.2900283240894872E+01   +1.8069921298300279E+01   +2.8255000000000003E+01   +0.0000000000000000E+00
  +1.3000000000000000E+00   +6.2907839904828869E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1526481124548283E+04   +3.4309137400015184E+03   +3.3595950393820768E+00   +0.0000000000000000E+00   +6.2908067208675533E+01   +1.8069850598944118E+01   +2.8245000000000001E+01   +0.0000000000000000E+00
  +1.3500000000000001E+00   +6.2914065826067684E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1338672807401981E+04   +3.4312043402165978E+03   +3.3045751112467361E+00   +0.0000000000000000E+00   +6.2914318133223709E+01   +1.8069779903554789E+01   +2.8235000000000003E+01   +0.0000000000000000E+00
  +1.3999999999999999E+00   +6.2919171507636250E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1131881783339457E+04   +3.4315123402744321E+03   +3.2440161469149666E+00   +0.0000000000000000E+00   +6.2919453633035168E+01   +1.8069709212132377E+01   +2.8225000000000001E+01   +0.0000000000000000E+00
  +1.4500000000000000E+00   +6.2923482285802407E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0906548895849452E+04   +3.4318435894288004E+03   +3.1780435991491065E+00   +0.0000000000000000E+00   +6.2923800026724578E+01   +1.8069638524676961E+01   +2.8215000000000000E+01   +0.0000000000000000E+00
  +1.5000000000000000E+00   +6.2927254619933798E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0663338089964498E+04   +3.4322046182273270E+03   +3.1068479105571107E+00   +0.0000000000000000E+00   +6.2927627313854018E+01   +1.8069567841188647E+01   +2.8205000000000002E+01   +0.0000000000000000E+00
  +1.5500000000000000E+00   +6.2930713449915380E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0402818061015065E+04   +3.4326025904250614E+03   +3.0305919324225119E+00   +0.0000000000000000E+00   +6.2931141063211953E+01   +1.8069497161667517E+01   +2.8195000000000000E+01   +0.0000000000000000E+00
  +1.6000000000000001E+00   +6.2934006615415207E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0126189377937972E+04   +3.4330457434197315E+03   +2.9496225193161805E+00   +0.0000000000000000E+00   +6.2934501252187495E+01   +1.8069426486113667E+01   +2.8185000000000002E+01   +0.0000000000000000E+00
  +1.6499999999999999E+00   +6.2937275858383956E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0123672131133919E+04   +3.4335976311097343E+03   +2.9484152994660002E+00   +0.0000000000000000E+00   +6.2938186156985346E+01   +1.8069355814527182E+01   +2.8175000000000001E+01   +0.0000000000000000E+00
  +1.7000000000000000E+00   +6.2941471064467585E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0123199999999137E+04   +3.4341503496763103E+03   +2.9478032776108001E+00   +0.0000000000000000E+00   +6.2942570240515508E+01   +1.8069285146908165E+01   +2.8164999999999999E+01   +0.0000000000000000E+00
  +1.7500000000000000E+00   +6.2946362697108128E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0122727868864353E+04   +3.4347032978009979E+03   +2.9471912557555999E+00   +0.0000000000000000E+00   +6.2947705656160508E+01   +1.8069214483256697E+01   +2.8155000000000001E+01   +0.0000000000000000E+00
  +1.8000000000000000E+00   +6.2952000497387075E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0122255737729567E+04   +3.4352564756268393E+03   +2.9465792339003998E+00   +0.0000000000000000E+00   +6.2953688074179979E+01   +1.8069143823572869E+01   +2.8145000000000000E+01   +0.0000000000000000E+00
  +1.8500000000000001E+00   +6.2958478924285529E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0121783606594783E+04   +3.4358098832969958E+03   +2.9459672120452001E+00   +0.0000000000000000E+00   +6.2960654888417970E+01   +1.8069073167856764E+01   +2.8135000000000005E+01   +0.0000000000000000E+00
  +1.8999999999999999E+00   +6.2965891390088032E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0121311475460001E+04   +3.4363635209547479E+03   +2.9453551901899999E+00   +0.0000000000000000E+00   +6.2968845905042762E+01   +1.8069002516108490E+01   +2.8125000000000000E+01   +0.0000000000000000E+00
  +1.9500000000000000E+00   +6.2974389340261631E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0120839344325217E+04   +3.4369173887434927E+03   +2.9447431683347998E+00   +0.0000000000000000E+00   +6.2978772236045593E+01   +1.8068931868328132E+01   +2.8114999999999998E+01   +0.0000000000000000E+00
  +2.0000000000000000E+00   +6.2984124232724916E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2972187899058383E+01   +1.8068861224515775E+01   +2.8105000000000004E+01   +0.0000000000000000E+00
  +2.0499999999999998E+00   +6.2952424632253852E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2952424632253852E+01   +1.8068790584671515E+01   +2.8094999999999999E+01   +0.0000000000000000E+00
  +2.1000000000000001E+00   +6.2935290829040994E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2935290829040994E+01   +1.8068719948795440E+01   +2.8085000000000004E+01   +0.0000000000000000E+00
  +2.1499999999999999E+00   +6.2919605056425816E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2919605056425816E+01   +1.8068649316887644E+01   +2.8075000000000003E+01   +0.0000000000000000E+00
  +2.2000000000000002E+00   +6.2903925798042820E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2903925798042820E+01   +1.8068578688948211E+01   +2.8064999999999998E+01   +0.0000000000000000E+00
  +2.2500000000000000E+00   +6.2888452095151884E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2888452095151884E+01   +1.8068508064977241E+01   +2.8055000000000003E+01   +0.0000000000000000E+00
  +2.2999999999999998E+00   +6.2873850385071961E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2873850385071961E+01   +1.8068437444974816E+01   +2.8045000000000002E+01   +0.0000000000000000E+00
  +2.3500000000000001E+00   +6.2859919699390929E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2859919699390929E+01   +1.8068366828941041E+01   +2.8035000000000004E+01   +0.0000000000000000E+00
  +2.3999999999999999E+00   +6.2845992337296892E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2845992337296892E+01   +1.8068296216875986E+01   +2.8025000000000002E+01   +0.0000000000000000E+00
