 TIME                                    Q_HP                                     P_HP                                     COP_HP                                   T_w_i_HP                                 T_w_o_HP                                 m_w_i_HP                                 T_amb                                    F_Q_in                                   F_Q_out                                  m_w_o_HP                                 CS                                       T_thermostat                            
  +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.5000000000000000E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.0200000000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00   +4.5000000000000000E+01
  +5.0000000000000003E-02   +1.1356079108489568E+04   +3.7162940437772286E+03   +3.0557535553128310E+00   +4.4992757426533018E+01   +6.3000000000000000E+01   +1.5086912679910205E+02   +2.0402500000000003E+01   +6.0199740821085501E-01   +5.0760025835761313E-01   +1.5087028357401550E+02   +1.0000000000000000E+00   +4.4996163167954364E+01
  +1.0000000000000001E-01   +1.1417508104000432E+04   +3.7000307864384640E+03   +3.0857872252969809E+00   +4.4979756150464617E+01   +6.3000000000000000E+01   +1.5157692273587529E+02   +2.0807500000000001E+01   +6.0525382230706271E-01   +5.1258924008255502E-01   +1.5157695494349832E+02   +1.0000000000000000E+00   +4.4988925086582498E+01
  +1.4999999999999999E-01   +1.1478693625833839E+04   +3.6841138575760456E+03   +3.1157270652256210E+00   +4.4968287645759517E+01   +6.3000000000000000E+01   +1.5229226787003273E+02   +2.1212500000000002E+01   +6.0849732961375314E-01   +5.1756263541953840E-01   +1.5229232171546295E+02   +1.0000000000000000E+00   +4.4982137254119820E+01
  +2.0000000000000001E-01   +1.1539661406132958E+04   +3.6685277149519075E+03   +3.1455837153002038E+00   +4.4958045299219847E+01   +6.3000000000000000E+01   +1.5301421950902926E+02   +2.1617500000000003E+01   +6.1172929421824418E-01   +5.2252221184388770E-01   +1.5301429041321478E+02   +1.0000000000000000E+00   +4.4976620831209438E+01
  +2.5000000000000000E-01   +1.1600454759293414E+04   +3.6532571036468826E+03   +3.1753731163315857E+00   +4.4948803546612986E+01   +6.3000000000000000E+01   +1.5374156471342187E+02   +2.2022500000000001E+01   +6.1495201226110130E-01   +5.2747061733082823E-01   +1.5374164983457354E+02   +1.0000000000000000E+00   +4.4974273579615101E+01
  +2.9999999999999999E-01   +1.1661097530061239E+04   +3.6382892291609292E+03   +3.2051044960275537E+00   +4.4940424813960625E+01   +6.3000000000000000E+01   +1.5447355273007241E+02   +2.2427500000000002E+01   +6.1816674777678327E-01   +5.3240938472218502E-01   +1.5447365172159672E+02   +1.0000000000000000E+00   +4.4978594502442874E+01
  +3.4999999999999998E-01   +1.1721584302155547E+04   +3.6236136806276077E+03   +3.2347774826161952E+00   +4.4932889091916614E+01   +6.3000000000000000E+01   +1.5521003450167686E+02   +2.2832500000000000E+01   +6.2137321364268161E-01   +5.3733845226182653E-01   +1.5521015089847268E+02   +1.0000000000000000E+00   +4.4995010306843440E+01
  +4.0000000000000002E-01   +1.1781862322210338E+04   +3.6092225512190662E+03   +3.2643766889100791E+00   +4.4926351101859709E+01   +6.3000000000000000E+01   +1.5595173825527453E+02   +2.3237500000000001E+01   +6.2456861334872449E-01   +5.4225526393855139E-01   +1.5595188155431265E+02   +1.0000000000000000E+00   +4.5030864001956715E+01
  +4.5000000000000001E-01   +1.1841804255467312E+04   +3.5951106001209250E+03   +3.2938635867163426E+00   +4.4921225297913146E+01   +6.3000000000000000E+01   +1.5670067964508303E+02   +2.3642499999999998E+01   +6.2774619674869125E-01   +5.4715341972032272E-01   +1.5670086811032593E+02   +1.0000000000000000E+00   +4.5095040661698079E+01
  +5.0000000000000000E-01   +1.1901172766642181E+04   +3.5812752430405803E+03   +3.3231660793573363E+00   +4.4918292266631326E+01   +6.3000000000000000E+01   +1.5746067288567625E+02   +2.4047499999999999E+01   +6.3089338245558635E-01   +5.5202094341483998E-01   +1.5746093716769511E+02   +1.0000000000000000E+00   +4.5197302720047993E+01
  +5.5000000000000004E-01   +1.1959580007604671E+04   +3.5677161519941810E+03   +3.3521668040065991E+00   +4.4918813562294865E+01   +6.3000000000000000E+01   +1.5823788038978756E+02   +2.4452500000000001E+01   +6.3398961024197786E-01   +5.5683833953597994E-01   +1.5823826829246923E+02   +1.0000000000000000E+00   +4.5347461379954837E+01
  +5.9999999999999998E-01   +1.2016446782463154E+04   +3.5544343018623176E+03   +3.3806916675105803E+00   +4.4924637719208455E+01   +6.3000000000000000E+01   +1.5904132360949885E+02   +2.4857500000000002E+01   +6.3700417633922568E-01   +5.6157668895524593E-01   +1.5904190673078276E+02   +1.0000000000000000E+00   +4.5554522948384147E+01
  +6.5000000000000002E-01   +1.2068631447465954E+04   +3.5397024503501175E+03   +3.4095044040501152E+00   +4.4938275701021951E+01   +6.3000000000000000E+01   +1.5985234843943758E+02   +2.5262500000000003E+01   +6.3977053898780500E-01   +5.6636285781563378E-01   +1.5985319913245462E+02   +1.0000000000000000E+00   +4.5825894219162386E+01
  +6.9999999999999996E-01   +1.2116113471980931E+04   +3.5243444878953951E+03   +3.4378345139529096E+00   +4.4962934769352550E+01   +6.3000000000000000E+01   +1.6070025168133330E+02   +2.5667499999999997E+01   +6.4228760983783562E-01   +5.7106885613835712E-01   +1.6070151477345252E+02   +1.0000000000000000E+00   +4.6166800127434200E+01
  +7.5000000000000000E-01   +1.2158805914931801E+04   +3.5092858247669783E+03   +3.4647521379397994E+00   +4.5002504247335139E+01   +6.3000000000000000E+01   +1.6162042512042683E+02   +2.6072500000000005E+01   +6.4455078005363664E-01   +5.7554022224913615E-01   +1.6162232799858003E+02   +1.0000000000000000E+00   +4.6579972666243606E+01
  +8.0000000000000004E-01   +1.2195089364165680E+04   +3.4944923402569389E+03   +3.4898027602543782E+00   +4.5061484699626163E+01   +6.3000000000000000E+01   +1.6263477454402766E+02   +2.6477499999999999E+01   +6.4647420293499158E-01   +5.7970145519175720E-01   +1.6263761593903726E+02   +1.0000000000000000E+00   +4.7065535383934929E+01
  +8.4999999999999998E-01   +1.2223100572727886E+04   +3.4799143032185389E+03   +3.5124716184623943E+00   +4.5144866255667061E+01   +6.3000000000000000E+01   +1.6376822683057534E+02   +2.6882500000000007E+01   +6.4795910584859451E-01   +5.8346704625621171E-01   +1.6377242495839130E+02   +1.0000000000000000E+00   +4.7621080487903697E+01
  +9.0000000000000002E-01   +1.2240771046505140E+04   +3.4654838267632749E+03   +3.5321967470814912E+00   +4.5257967865801000E+01   +6.3000000000000000E+01   +1.6504857548609809E+02   +2.7287500000000001E+01   +6.4889583579861854E-01   +5.8674364569459991E-01   +1.6505470461741700E+02   +1.0000000000000000E+00   +4.8241918285088779E+01
  +9.4999999999999996E-01   +1.2245879795924729E+04   +3.4511129918588613E+03   +3.5483855439393985E+00   +4.5406249593769083E+01   +6.3000000000000000E+01   +1.6650643036064079E+02   +2.7692499999999995E+01   +6.4916665584842714E-01   +5.8943281460787356E-01   +1.6651526373898079E+02   +1.0000000000000000E+00   +4.8921437965682458E+01
  +1.0000000000000000E+00   +1.2236115973282051E+04   +3.4366926657445028E+03   +3.5604334805894062E+00   +4.5595112027599228E+01   +6.3000000000000000E+01   +1.6817536852358452E+02   +2.8097500000000004E+01   +6.4864906558959134E-01   +5.9143413298827352E-01   +1.6818792900721064E+02   +1.0000000000000000E+00   +4.9651529807620605E+01
  +1.0500000000000000E+00   +1.2183365232168780E+04   +3.4295604546219943E+03   +3.5524566633001911E+00   +4.5829298682259981E+01   +6.3000000000000000E+01   +1.6973257623078402E+02   +2.8295000000000002E+01   +6.4585269466543582E-01   +5.9010908028242381E-01   +1.6974683423089516E+02   +1.0000000000000000E+00   +5.0422062922263166E+01
  +1.1000000000000001E+00   +1.2087948168639798E+04   +3.4298301232782114E+03   +3.5243575894957724E+00   +4.6112558994980787E+01   +6.3000000000000000E+01   +1.7122598009613941E+02   +2.8285000000000004E+01   +6.4079453820185528E-01   +5.8544146004913167E-01   +1.7124234902637070E+02   +1.0000000000000000E+00   +5.1221441667082495E+01
  +1.1499999999999999E+00   +1.1975367728333918E+04   +3.4300972339583113E+03   +3.4912617831258079E+00   +4.6448138688004192E+01   +6.3000000000000000E+01   +1.7306315010432357E+02   +2.8275000000000002E+01   +6.3482653352066998E-01   +5.7994381779498472E-01   +1.7308699008642438E+02   +1.0000000000000000E+00   +5.2038860469117274E+01
  +1.2000000000000000E+00   +1.1844626570047576E+04   +3.4303644948588717E+03   +3.4528768720533374E+00   +4.6838785082339214E+01   +6.3000000000000000E+01   +1.7530152501350199E+02   +2.8265000000000001E+01   +6.2789581054111410E-01   +5.7356758671982355E-01   +1.7533545391057316E+02   +1.0000000000000000E+00   +5.2864635906774154E+01
  +1.2500000000000000E+00   +1.1695110522489942E+04   +3.4306353265556900E+03   +3.4090216727197693E+00   +4.7286438920643597E+01   +6.3000000000000000E+01   +1.7800668017063646E+02   +2.8255000000000003E+01   +6.1996981141274077E-01   +5.6628266988700493E-01   +1.7805412878106029E+02   +1.0000000000000000E+00   +5.3689700146382279E+01
  +1.3000000000000000E+00   +1.1526481124548283E+04   +3.4309137400015184E+03   +3.3595950393820768E+00   +4.7792214716082235E+01   +6.3000000000000000E+01   +1.8125759593674275E+02   +2.8245000000000001E+01   +6.1103059396460369E-01   +5.5807226567808588E-01   +1.8132306919612938E+02   +1.0000000000000000E+00   +5.4505762391099552E+01
  +1.3500000000000001E+00   +1.1338672807401981E+04   +3.4312043402165978E+03   +3.3045751112467361E+00   +4.8356410822845987E+01   +6.3000000000000000E+01   +1.8515142655573095E+02   +2.8235000000000003E+01   +6.0107468232622885E-01   +5.4893274273201598E-01   +1.8524091704800946E+02   +1.0000000000000000E+00   +5.5305411061263754E+01
  +1.3999999999999999E+00   +1.1131881783339457E+04   +3.4315123402744321E+03   +3.2440161469149666E+00   +4.8978543434167470E+01   +6.3000000000000000E+01   +1.8981016114031618E+02   +2.8225000000000001E+01   +5.9011247791239696E-01   +5.3887311410547623E-01   +1.8993177378874486E+02   +1.0000000000000000E+00   +5.6082163711853802E+01
  +1.4500000000000000E+00   +1.0906548895849452E+04   +3.4318435894288004E+03   +3.1780435991491065E+00   +4.9657399738384562E+01   +6.3000000000000000E+01   +1.9539010255629813E+02   +2.8215000000000000E+01   +5.7816735028888100E-01   +5.2791421912775860E-01   +1.9555501888509531E+02   +1.0000000000000000E+00   +5.6830475296638603E+01
  +1.5000000000000000E+00   +1.0663338089964498E+04   +3.4322046182273270E+03   +3.1068479105571107E+00   +5.0391585225425153E+01   +6.3000000000000000E+01   +2.0231969810877604E+02   +2.8205000000000002E+01   +5.6527449586325795E-01   +5.1608769278357325E-01   +2.0232739403054643E+02   +1.0000000000000000E+00   +5.7546130122901644E+01
  +1.5500000000000000E+00   +1.0402818061015065E+04   +3.4326025904250614E+03   +3.0305919324225119E+00   +5.1178765327148795E+01   +6.3000000000000000E+01   +2.1051615844497169E+02   +2.8195000000000000E+01   +5.5146406175864426E-01   +5.0342058678114820E-01   +2.1052808756935505E+02   +1.0000000000000000E+00   +5.8225354781474884E+01
  +1.6000000000000001E+00   +1.0126189377937972E+04   +3.4330457434197315E+03   +2.9496225193161805E+00   +5.2015848303527264E+01   +6.3000000000000000E+01   +2.2052833890004837E+02   +2.8185000000000002E+01   +5.3679969136651673E-01   +4.8997051815883397E-01   +2.2054705575756381E+02   +1.0000000000000000E+00   +5.8864922202264147E+01
  +1.6499999999999999E+00   +1.0123672131133919E+04   +3.4335976311097343E+03   +2.9484152994660002E+00   +5.2915444834893854E+01   +6.3000000000000000E+01   +2.4011067162401048E+02   +2.8175000000000001E+01   +5.3666624952999997E-01   +4.8976998330000004E-01   +2.4016122517422605E+02   +1.0000000000000000E+00   +5.9472153409310501E+01
  +1.7000000000000000E+00   +1.0123199999999137E+04   +3.4341503496763103E+03   +2.9478032776108001E+00   +5.3891336102698219E+01   +6.3000000000000000E+01   +2.6578498631291205E+02   +2.8164999999999999E+01   +5.3664122137400005E-01   +4.8966831854000004E-01   +2.6587926782236252E+02   +1.0000000000000000E+00   +6.0052119579270546E+01
  +1.7500000000000000E+00   +1.0122727868864353E+04   +3.4347032978009979E+03   +2.9471912557555999E+00   +5.4949134068765318E+01   +6.3000000000000000E+01   +3.0060955186855136E+02   +2.8155000000000001E+01   +5.3661619321800003E-01   +4.8956665378000003E-01   +3.0079872308570236E+02   +1.0000000000000000E+00   +6.0601864658762935E+01
  +1.8000000000000000E+00   +1.0122255737729567E+04   +3.4352564756268393E+03   +2.9465792339003998E+00   +5.6096712788634925E+01   +6.3000000000000000E+01   +3.5074460154023149E+02   +2.8145000000000000E+01   +5.3659116506200000E-01   +4.8946498902000002E-01   +3.5078574428709334E+02   +1.0000000000000000E+00   +6.1118488216797182E+01
  +1.8500000000000001E+00   +1.0121783606594783E+04   +3.4358098832969958E+03   +2.9459672120452001E+00   +5.7344528429928687E+01   +6.3000000000000000E+01   +4.2801971159041921E+02   +2.8135000000000005E+01   +5.3656613690599997E-01   +4.8936332426000007E-01   +4.2816198324405059E+02   +1.0000000000000000E+00   +6.1598615223427799E+01
  +1.8999999999999999E+00   +1.0121311475460001E+04   +3.4363635209547479E+03   +2.9453551901899999E+00   +5.8709818309872944E+01   +6.3000000000000000E+01   +5.6426486363236563E+02   +2.8125000000000000E+01   +5.3654110875000005E-01   +4.8926165950000000E-01   +5.6439058693757545E+02   +1.0000000000000000E+00   +6.2038846220810512E+01
  +1.9500000000000000E+00   +1.0120839344325217E+04   +3.4369173887434927E+03   +2.9447431683347998E+00   +6.0230250814789123E+01   +6.3000000000000000E+01   +8.7361908573045082E+02   +2.8114999999999998E+01   +5.3651608059400002E-01   +4.8915999473999999E-01   +8.7416208531825760E+02   +1.0000000000000000E+00   +6.2437674946327107E+01
  +2.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0798136113644951E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8105000000000004E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2570964598794561E+01
  +2.0499999999999998E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0779829356954643E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8094999999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2560419931501912E+01
  +2.1000000000000001E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0761539370172891E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8085000000000004E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2549875474220379E+01
  +2.1499999999999999E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0743266100250473E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8075000000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2539331226838833E+01
  +2.2000000000000002E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0725009494347432E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8064999999999998E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2528787189219230E+01
  +2.2500000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0706769499832163E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8055000000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2518243361196930E+01
  +2.2999999999999998E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0688546064280501E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8045000000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2507699742581032E+01
  +2.3500000000000001E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0670339135474755E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8035000000000004E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2497156333154656E+01
  +2.3999999999999999E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0652148661402848E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8025000000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2486613132675302E+01
  +2.4500000000000002E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0633974590257353E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8015000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2476070140875137E+01
  +2.5000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0615816870434671E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8005000000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2465527357461269E+01
  +2.5499999999999998E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0597675450534041E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7995000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2454984782116057E+01
  +2.6000000000000001E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0579550279356681E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7985000000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2444442414497388E+01
  +2.6499999999999999E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0561441305904928E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7975000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2433900254238992E+01
  +2.7000000000000002E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0543348479381294E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7965000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2423358300950675E+01
  +2.7500000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0525271749187624E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7955000000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2412816554218665E+01
  +2.7999999999999998E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0507211064924192E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7945000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2402275013605575E+01
  +2.8500000000000001E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0489166376388837E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7935000000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2391733678646254E+01
  +2.8999999999999999E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0471137633576092E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7925000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2381192548844055E+01
  +2.9500000000000002E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0453124786676320E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7914999999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2370651623671208E+01
  +3.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0435127786074844E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7905000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2360110902569183E+01
  +3.0499999999999998E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0417146582351080E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7895000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2349570384949082E+01
  +3.1000000000000001E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0399181126277718E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7885000000000005E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2339030070192024E+01
  +3.1499999999999999E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0381231368819826E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7875000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2328489957649516E+01
  +3.2000000000000002E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0363297261134036E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7864999999999998E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2317950046643794E+01
  +3.2500000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0345378754567683E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7855000000000004E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2307410336468237E+01
  +3.2999999999999998E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0327475800657972E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7844999999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2296870826387689E+01
