 TIME                                    TempTop                                  TempBottom                               C_Load                                   C_Tmax                                   C_Tmin                                   C_All                                   
  +0.0000000000000000E+00   +4.5000000000000000E+01   +4.5000000000000000E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +5.0000000000000003E-02   +4.4992757426533018E+01   +4.4996163167954364E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.0000000000000001E-01   +4.4979756150464617E+01   +4.4988925086582498E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.4999999999999999E-01   +4.4968287645759517E+01   +4.4982137254119820E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +2.0000000000000001E-01   +4.4958045299219847E+01   +4.4976620831209438E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +2.5000000000000000E-01   +4.4948803546612986E+01   +4.4974273579615101E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +2.9999999999999999E-01   +4.4940424813960625E+01   +4.4978594502442874E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +3.4999999999999998E-01   +4.4932889091916614E+01   +4.4995010306843440E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +4.0000000000000002E-01   +4.4926351101859709E+01   +4.5030864001956715E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +4.5000000000000001E-01   +4.4921225297913146E+01   +4.5095040661698079E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +5.0000000000000000E-01   +4.4918292266631326E+01   +4.5197302720047993E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +5.5000000000000004E-01   +4.4918813562294865E+01   +4.5347461379954837E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +5.9999999999999998E-01   +4.4924637719208455E+01   +4.5554522948384147E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +6.5000000000000002E-01   +4.4938275701021951E+01   +4.5825894219162386E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +6.9999999999999996E-01   +4.4962934769352550E+01   +4.6166800127434200E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +7.5000000000000000E-01   +4.5002504247335139E+01   +4.6579972666243606E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +8.0000000000000004E-01   +4.5061484699626163E+01   +4.7065535383934929E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +8.4999999999999998E-01   +4.5144866255667061E+01   +4.7621080487903697E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +9.0000000000000002E-01   +4.5257967865801000E+01   +4.8241918285088779E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
