 TIME                                    TempTop                                  TempBottom                               Node1                                    Node2                                    Node3                                    Node4                                    Node5                                    Node6                                    Node7                                    Node8                                    Node9                                    Node10                                  
  +0.0000000000000000E+00   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01   +4.5000000000000000E+01
  +5.0000000000000003E-02   +4.7092115678324234E+01   +4.4996163167954364E+01   +4.7092115678324234E+01   +4.5241927860773636E+01   +4.5024980740614744E+01   +4.4999542215326947E+01   +4.4996559213887529E+01   +4.4996209594457127E+01   +4.4996163167954364E+01   +4.4996163166306772E+01   +4.4996160798323920E+01   +4.4992757426533018E+01
  +1.0000000000000001E-01   +5.0641430852214896E+01   +4.4988925086582498E+01   +5.0641430852214896E+01   +4.6070055205422577E+01   +4.5164912997504672E+01   +4.5015312043676261E+01   +4.4992651299927402E+01   +4.4989391725139470E+01   +4.4988925086582498E+01   +4.4988873364596110E+01   +4.4988857924294003E+01   +4.4979756150464617E+01
  +1.4999999999999999E-01   +5.3401803704765889E+01   +4.4982137254119820E+01   +5.3401803704765889E+01   +4.7423177445714472E+01   +4.5523196225355292E+01   +4.5085176594949722E+01   +4.4999712292517579E+01   +4.4984639663061323E+01   +4.4982137254119820E+01   +4.4981755609577284E+01   +4.4981680099806027E+01   +4.4968287645759517E+01
  +2.0000000000000001E-01   +5.5547001805518974E+01   +4.4976620831209438E+01   +5.5547001805518974E+01   +4.9027214353720488E+01   +4.6138519872403151E+01   +4.5251440496992224E+01   +4.5032643735202726E+01   +4.4985760251899620E+01   +4.4976620831209438E+01   +4.4974971697016741E+01   +4.4974658713258400E+01   +4.4958045299219847E+01
  +2.5000000000000000E-01   +5.7212867604945657E+01   +4.4974273579615101E+01   +5.7212867604945657E+01   +5.0702779030286230E+01   +4.6989969323205450E+01   +4.5548957357650686E+01   +4.5111880818061124E+01   +4.4999795313606178E+01   +4.4974273579615101E+01   +4.4968963917665540E+01   +4.4967888520201221E+01   +4.4948803546612986E+01
  +2.9999999999999999E-01   +5.8505527212153012E+01   +4.4978594502442874E+01   +5.8505527212153012E+01   +5.2337136676838114E+01   +4.8028104617748170E+01   +4.5996791231600248E+01   +4.5259504742946369E+01   +4.5037132974637963E+01   +4.4978594502442874E+01   +4.4964704761085521E+01   +4.4961608303626051E+01   +4.4940424813960625E+01
  +3.4999999999999998E-01   +5.9507837168459950E+01   +4.4995010306843440E+01   +5.9507837168459950E+01   +5.3863796720171457E+01   +4.9193952951917325E+01   +4.6597329554386036E+01   +4.5495151247740992E+01   +4.5110676492518486E+01   +4.4995010306843440E+01   +4.4963990943029984E+01   +4.4956327366921975E+01   +4.4932889091916614E+01
  +4.0000000000000002E-01   +6.0284441594073002E+01   +4.5030864001956715E+01   +6.0284441594073002E+01   +5.5247768474309510E+01   +5.0429956394588153E+01   +4.7338999940589829E+01   +4.5833015433153335E+01   +4.5234376298844772E+01   +4.5030864001956715E+01   +4.4969709921031580E+01   +4.4952989924015249E+01   +4.4926351101859709E+01
  +4.5000000000000001E-01   +6.0885738421427796E+01   +4.5095040661698079E+01   +6.0885738421427796E+01   +5.6475001421094426E+01   +5.1685686958097570E+01   +4.8200317256802251E+01   +4.6280286584230730E+01   +4.5421553737086057E+01   +4.5095040661698079E+01   +4.4986003361634232E+01   +4.4953153995716306E+01   +4.4921225297913146E+01
